dataset,modality,model_family,classifier_variant,folds,subjects,input_dimension,post_pca_dimension,accuracy,positive_f1,macro_f1,precision,recall,auroc,confusion_matrix
daic,audio_text,logistic_regression,logreg_raw,1,47,4096,4096,0.851064,0.800000,0.840678,0.666667,1.000000,0.900433,"[[26, 7], [0, 14]]"
daic,audio_text,xgboost,xgb_raw,1,47,4096,4096,0.765957,0.620690,0.725729,0.600000,0.642857,0.896104,"[[27, 6], [5, 9]]"
daic,audio_text,xgboost,xgb_optuna_raw,1,47,4096,4096,0.787234,0.642857,0.745671,0.642857,0.642857,0.883117,"[[28, 5], [5, 9]]"
daic,audio_only,logistic_regression,logreg_raw,1,47,4096,4096,0.723404,0.628571,0.704116,0.523810,0.785714,0.779221,"[[23, 10], [3, 11]]"
daic,audio_only,xgboost,xgb_raw,1,47,4096,4096,0.765957,0.592593,0.714207,0.615385,0.571429,0.781385,"[[28, 5], [6, 8]]"
daic,audio_only,xgboost,xgb_optuna_raw,1,47,4096,4096,0.723404,0.580645,0.687148,0.529412,0.642857,0.785714,"[[25, 8], [5, 9]]"
daic,text_only,logistic_regression,logreg_raw,1,47,3584,3584,0.851064,0.740741,0.818132,0.769231,0.714286,0.926407,"[[30, 3], [4, 10]]"
daic,text_only,logistic_regression,logreg_pca32,1,47,3584,32,0.851064,0.758621,0.825464,0.733333,0.785714,0.861472,"[[29, 4], [3, 11]]"
daic,text_only,xgboost,xgb_raw,1,47,3584,3584,0.829787,0.692308,0.787330,0.750000,0.642857,0.930736,"[[30, 3], [5, 9]]"
daic,text_only,xgboost,xgb_optuna_raw,1,47,3584,3584,0.851064,0.740741,0.818132,0.769231,0.714286,0.911255,"[[30, 3], [4, 10]]"
cmdc,audio_text,logistic_regression,logreg_raw,5,78,4096,4096,0.987179,0.980392,0.985434,1.000000,0.961538,0.995562,"[[52, 0], [1, 25]]"
cmdc,audio_text,xgboost,xgb_raw,5,78,4096,4096,0.974359,0.960000,0.970566,1.000000,0.923077,0.993343,"[[52, 0], [2, 24]]"
cmdc,audio_text,xgboost,xgb_optuna_raw,5,78,4096,4096,0.987179,0.980392,0.985434,1.000000,0.961538,0.994083,"[[52, 0], [1, 25]]"
cmdc,audio_only,logistic_regression,logreg_raw,5,78,4096,4096,0.987179,0.980392,0.985434,1.000000,0.961538,0.985947,"[[52, 0], [1, 25]]"
cmdc,audio_only,xgboost,xgb_raw,5,78,4096,4096,0.987179,0.980392,0.985434,1.000000,0.961538,0.985207,"[[52, 0], [1, 25]]"
cmdc,audio_only,xgboost,xgb_optuna_raw,5,78,4096,4096,0.987179,0.980392,0.985434,1.000000,0.961538,0.987426,"[[52, 0], [1, 25]]"
cmdc,text_only,logistic_regression,logreg_raw,5,78,3584,3584,0.987179,0.980392,0.985434,1.000000,0.961538,0.999260,"[[52, 0], [1, 25]]"
cmdc,text_only,xgboost,xgb_raw,5,78,3584,3584,0.974359,0.960000,0.970566,1.000000,0.923077,0.998521,"[[52, 0], [2, 24]]"
cmdc,text_only,xgboost,xgb_optuna_raw,5,78,3584,3584,0.974359,0.961538,0.971154,0.961538,0.961538,0.997041,"[[51, 1], [1, 25]]"
turkish,audio_text,logistic_regression,logreg_raw,5,120,4096,4096,0.600000,0.724138,0.498433,0.692308,0.759036,0.480300,"[[9, 28], [20, 63]]"
turkish,audio_text,xgboost,xgb_raw,5,120,4096,4096,0.650000,0.783505,0.435231,0.684685,0.915663,0.600456,"[[2, 35], [7, 76]]"
turkish,audio_text,xgboost,xgb_optuna_raw,5,120,4096,4096,0.625000,0.745763,0.515738,0.702128,0.795181,0.576359,"[[9, 28], [17, 66]]"
turkish,audio_text,xgboost,xgb_pca32,5,120,4096,32,0.691667,0.814070,0.455816,0.698276,0.975904,0.579290,"[[2, 35], [2, 81]]"
turkish,audio_only,logistic_regression,logreg_raw,5,120,4096,4096,0.683333,0.788889,0.577778,0.731959,0.855422,0.613807,"[[11, 26], [12, 71]]"
turkish,audio_only,xgboost,xgb_raw,5,120,4096,4096,0.716667,0.830000,0.490000,0.709402,1.000000,0.641810,"[[3, 34], [0, 83]]"
turkish,audio_only,xgboost,xgb_optuna_raw,5,120,4096,4096,0.658333,0.770950,0.549409,0.718750,0.831325,0.623250,"[[10, 27], [14, 69]]"
turkish,text_only,logistic_regression,logreg_raw,5,120,3584,3584,0.583333,0.666667,0.555556,0.746269,0.602410,0.616412,"[[20, 17], [33, 50]]"
turkish,text_only,logistic_regression,logreg_pca32,5,120,3584,32,0.641667,0.722581,0.608349,0.777778,0.674699,0.647346,"[[21, 16], [27, 56]]"
turkish,text_only,xgboost,xgb_raw,5,120,3584,3584,0.683333,0.773810,0.623016,0.764706,0.783133,0.677304,"[[17, 20], [18, 65]]"
turkish,text_only,xgboost,xgb_optuna_raw,5,120,3584,3584,0.641667,0.726115,0.604021,0.770270,0.686747,0.646695,"[[20, 17], [26, 57]]"
turkish,text_only,xgboost,xgb_pca32,5,120,3584,32,0.658333,0.778378,0.516462,0.705882,0.867470,0.609899,"[[7, 30], [11, 72]]"
