Dataset,Modality,Method,Stage,Fold,Accuracy,Positive F1,Precision,Recall,Macro-F1,Negative F1,AUROC,Support Negative,Support Positive,Confusion Matrix,Invalid Qwen Outputs,Fold Coverage,Protocol
androids_interview,audio_text,logreg,cv,pooled,0.8103448275862069,0.8135593220338982,0.8888888888888888,0.75,0.8102884329467737,0.8070175438596492,0.9260817307692307,52,64,"[[46, 6], [16, 48]]",0,5,symmetric_merged_cv_pooled
androids_interview,audio_text,qwen,cv,pooled,0.8103448275862069,0.8,0.9565217391304348,0.6875,0.8098360655737705,0.819672131147541,0.9326923076923077,52,64,"[[50, 2], [20, 44]]",0,5,symmetric_merged_cv_pooled
androids_interview,audio_text,xgb_fixed,cv,pooled,0.9051724137931034,0.9120000000000001,0.9344262295081968,0.890625,0.9045981308411215,0.897196261682243,0.9402043269230769,52,64,"[[48, 4], [7, 57]]",0,5,symmetric_merged_cv_pooled
androids_interview,audio_text,xgb_optuna,cv,pooled,0.9051724137931034,0.9105691056910569,0.9491525423728814,0.875,0.9048258372491982,0.8990825688073394,0.9555288461538461,52,64,"[[49, 3], [8, 56]]",0,5,symmetric_merged_cv_pooled
cmdc,audio_text,logreg,cv,pooled,0.9743589743589743,0.9600000000000001,1.0,0.9230769230769231,0.9705660377358492,0.9811320754716981,0.9918639053254438,52,26,"[[52, 0], [2, 24]]",0,5,symmetric_merged_cv_pooled
cmdc,audio_text,qwen,cv,pooled,0.9487179487179487,0.9166666666666666,1.0,0.8461538461538461,0.9398148148148149,0.962962962962963,0.9970414201183432,52,26,"[[52, 0], [4, 22]]",0,5,symmetric_merged_cv_pooled
cmdc,audio_text,xgb_fixed,cv,pooled,0.9743589743589743,0.9600000000000001,1.0,0.9230769230769231,0.9705660377358492,0.9811320754716981,0.9918639053254438,52,26,"[[52, 0], [2, 24]]",0,5,symmetric_merged_cv_pooled
cmdc,audio_text,xgb_optuna,cv,pooled,0.9743589743589743,0.9600000000000001,1.0,0.9230769230769231,0.9705660377358492,0.9811320754716981,0.9940828402366864,52,26,"[[52, 0], [2, 24]]",0,5,symmetric_merged_cv_pooled
d3tec,audio_text,logreg,cv,pooled,0.6129032258064516,0.5384615384615384,0.6086956521739131,0.4827586206896552,0.6025641025641026,0.6666666666666667,0.587251828631139,33,29,"[[24, 9], [15, 14]]",0,5,symmetric_merged_cv_pooled
d3tec,audio_text,qwen,cv,pooled,0.5967741935483871,0.5098039215686274,0.5909090909090909,0.4482758620689655,0.5836690840719849,0.6575342465753425,0.58098223615465,33,29,"[[24, 9], [16, 13]]",0,5,symmetric_merged_cv_pooled
d3tec,audio_text,xgb_fixed,cv,pooled,0.6451612903225806,0.5925925925925927,0.64,0.5517241379310345,0.6391534391534393,0.6857142857142857,0.6175548589341693,33,29,"[[24, 9], [13, 16]]",0,5,symmetric_merged_cv_pooled
d3tec,audio_text,xgb_optuna,cv,pooled,0.5806451612903226,0.4999999999999999,0.5652173913043478,0.4482758620689655,0.5694444444444444,0.638888888888889,0.6039707419017764,33,29,"[[23, 10], [16, 13]]",0,5,symmetric_merged_cv_pooled
daic,audio_text,logreg,cv,pooled,0.7394366197183099,0.5316455696202531,0.5675675675675675,0.5,0.6755788823711022,0.8195121951219512,0.7364285714285714,100,42,"[[84, 16], [21, 21]]",0,5,symmetric_merged_cv_pooled
daic,audio_text,qwen,cv,pooled,0.6971830985915493,0.4691358024691358,0.48717948717948717,0.4523809523809524,0.6286565711853069,0.788177339901478,0.7373809523809524,100,42,"[[80, 20], [23, 19]]",0,5,symmetric_merged_cv_pooled
daic,audio_text,xgb_fixed,cv,pooled,0.7605633802816901,0.5526315789473685,0.6176470588235294,0.5,0.694585020242915,0.8365384615384616,0.7157142857142857,100,42,"[[87, 13], [21, 21]]",0,5,symmetric_merged_cv_pooled
