Dataset,Modality,Method,Stage,Fold,Accuracy,Positive F1,Precision,Recall,Macro-F1,Negative F1,AUROC,Support Negative,Support Positive,Confusion Matrix,Invalid Qwen Outputs,Fold Coverage,Protocol
daic,audio_text,qwen,cv,0,0.7586206896551724,0.631578947368421,0.6,0.6666666666666666,0.7260458839406208,0.8205128205128205,0.8416666666666667,20,9,"[[16, 4], [3, 6]]",0,1,symmetric_merged_cv
daic,audio_text,logreg,cv,0,0.8275862068965517,0.7368421052631577,0.7,0.7777777777777778,0.8043184885290148,0.8717948717948718,0.9,20,9,"[[17, 3], [2, 7]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_fixed,cv,0,0.8275862068965517,0.7058823529411765,0.75,0.6666666666666666,0.7919655667144907,0.8780487804878048,0.8277777777777777,20,9,"[[18, 2], [3, 6]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_optuna,cv,0,0.8275862068965517,0.7058823529411765,0.75,0.6666666666666666,0.7919655667144907,0.8780487804878048,0.8333333333333334,20,9,"[[18, 2], [3, 6]]",0,1,symmetric_merged_cv
cmdc,audio_text,qwen,cv,0,0.9411764705882353,0.9090909090909091,1.0,0.8333333333333334,0.9328063241106719,0.9565217391304348,1.0,11,6,"[[11, 0], [1, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,logreg,cv,0,0.9411764705882353,0.9090909090909091,1.0,0.8333333333333334,0.9328063241106719,0.9565217391304348,1.0,11,6,"[[11, 0], [1, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_fixed,cv,0,0.9411764705882353,0.9090909090909091,1.0,0.8333333333333334,0.9328063241106719,0.9565217391304348,1.0,11,6,"[[11, 0], [1, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_optuna,cv,0,0.9411764705882353,0.9090909090909091,1.0,0.8333333333333334,0.9328063241106719,0.9565217391304348,1.0,11,6,"[[11, 0], [1, 5]]",0,1,symmetric_merged_cv
turkish,audio_text,qwen,cv,0,0.44,0.3636363636363636,0.8,0.23529411764705882,0.43181818181818177,0.4999999999999999,0.49264705882352944,8,17,"[[7, 1], [13, 4]]",0,1,symmetric_merged_cv
turkish,audio_text,logreg,cv,0,0.64,0.7692307692307693,0.6818181818181818,0.8823529411764706,0.4755244755244755,0.18181818181818182,0.625,8,17,"[[1, 7], [2, 15]]",0,1,symmetric_merged_cv
turkish,audio_text,xgb_fixed,cv,0,0.72,0.8292682926829268,0.7083333333333334,1.0,0.5257452574525745,0.2222222222222222,0.6029411764705882,8,17,"[[1, 7], [0, 17]]",0,1,symmetric_merged_cv
turkish,audio_text,xgb_optuna,cv,0,0.72,0.8292682926829268,0.7083333333333334,1.0,0.5257452574525745,0.2222222222222222,0.5808823529411765,8,17,"[[1, 7], [0, 17]]",0,1,symmetric_merged_cv
d3tec,audio_text,qwen,cv,0,0.7692307692307693,0.7272727272727272,0.8,0.6666666666666666,0.7636363636363636,0.7999999999999999,0.9523809523809523,7,6,"[[6, 1], [2, 4]]",0,1,symmetric_merged_cv
d3tec,audio_text,logreg,cv,0,0.9230769230769231,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,0.923076923076923,0.9285714285714286,7,6,"[[6, 1], [0, 6]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_fixed,cv,0,0.9230769230769231,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,0.923076923076923,0.9285714285714286,7,6,"[[6, 1], [0, 6]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_optuna,cv,0,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7692307692307692,0.9523809523809523,7,6,"[[5, 2], [1, 5]]",0,1,symmetric_merged_cv
androids_interview,audio_text,qwen,cv,0,0.625,0.47058823529411764,0.8,0.3333333333333333,0.5901328273244781,0.7096774193548387,0.8680555555555556,12,12,"[[11, 1], [8, 4]]",0,1,symmetric_merged_cv
androids_interview,audio_text,logreg,cv,0,0.7083333333333334,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.7078260869565216,0.7199999999999999,0.8472222222222222,12,12,"[[9, 3], [4, 8]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_fixed,cv,0,0.9583333333333334,0.9600000000000001,0.9230769230769231,1.0,0.9582608695652175,0.9565217391304348,0.9652777777777778,12,12,"[[11, 1], [0, 12]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_optuna,cv,0,0.9583333333333334,0.9600000000000001,0.9230769230769231,1.0,0.9582608695652175,0.9565217391304348,0.9652777777777778,12,12,"[[11, 1], [0, 12]]",0,1,symmetric_merged_cv
daic,audio_text,qwen,cv,1,0.5862068965517241,0.39999999999999997,0.36363636363636365,0.4444444444444444,0.5421052631578948,0.6842105263157895,0.6861111111111111,20,9,"[[13, 7], [5, 4]]",0,1,symmetric_merged_cv
daic,audio_text,logreg,cv,1,0.6206896551724138,0.4210526315789474,0.4,0.4444444444444444,0.5695006747638327,0.717948717948718,0.6611111111111111,20,9,"[[14, 6], [5, 4]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_fixed,cv,1,0.6206896551724138,0.4210526315789474,0.4,0.4444444444444444,0.5695006747638327,0.717948717948718,0.6444444444444445,20,9,"[[14, 6], [5, 4]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_optuna,cv,1,0.6206896551724138,0.4210526315789474,0.4,0.4444444444444444,0.5695006747638327,0.717948717948718,0.7555555555555555,20,9,"[[14, 6], [5, 4]]",0,1,symmetric_merged_cv
cmdc,audio_text,qwen,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,logreg,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_fixed,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_optuna,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
turkish,audio_text,qwen,cv,1,0.76,0.85,0.7391304347826086,1.0,0.625,0.4,0.7279411764705882,8,17,"[[2, 6], [0, 17]]",0,1,symmetric_merged_cv
turkish,audio_text,logreg,cv,1,0.64,0.7804878048780487,0.6666666666666666,0.9411764705882353,0.39024390243902435,0.0,0.5367647058823529,8,17,"[[0, 8], [1, 16]]",0,1,symmetric_merged_cv
turkish,audio_text,xgb_fixed,cv,1,0.68,0.8095238095238095,0.68,1.0,0.40476190476190477,0.0,0.75,8,17,"[[0, 8], [0, 17]]",0,1,symmetric_merged_cv
