Dataset,Modality,Method,Stage,Fold,Fold Coverage,Protocol,Accuracy,Positive F1,Precision,Recall,Macro-F1,Negative F1,AUROC,Support Negative,Support Positive,Confusion Matrix,Invalid Qwen Outputs
androids_interview,audio_only,logreg,cv,mean±std,5,symmetric_merged_cv,0.827536±0.082545,0.832503±0.064949,0.926263±0.065118,0.772805±0.134149,0.822357±0.089693,0.812211±0.121697,0.958110±0.034328,52,64,pooled_in_pooled_table,0
androids_interview,audio_only,qwen,cv,mean±std,5,symmetric_merged_cv,0.861957±0.088812,0.873932±0.064410,0.932867±0.059436,0.841220±0.136852,0.857369±0.097091,0.840806±0.130697,0.949604±0.036406,52,64,pooled_in_pooled_table,0
androids_interview,audio_only,xgb_fixed,cv,mean±std,5,symmetric_merged_cv,0.887681±0.035352,0.897398±0.020764,0.918998±0.084447,0.889938±0.074420,0.881326±0.046674,0.865255±0.077483,0.958939±0.048994,52,64,pooled_in_pooled_table,0
androids_interview,audio_only,xgb_optuna,cv,mean±std,5,symmetric_merged_cv,0.871014±0.037345,0.877701±0.034985,0.915664±0.084801,0.856605±0.090559,0.864427±0.046113,0.851152±0.073138,0.958939±0.048994,52,64,pooled_in_pooled_table,0
androids_interview,audio_text,logreg,cv,mean±std,5,symmetric_merged_cv,0.811232±0.077170,0.813892±0.073212,0.886869±0.105632,0.761352±0.095401,0.804971±0.082468,0.796049±0.107124,0.927409±0.053836,52,64,pooled_in_pooled_table,0
androids_interview,audio_text,qwen,cv,mean±std,5,symmetric_merged_cv,0.811957±0.106255,0.782971±0.161290,0.937778±0.081225,0.685796±0.182228,0.797501±0.119455,0.812032±0.105616,0.935072±0.043070,52,64,pooled_in_pooled_table,0
androids_interview,audio_text,xgb_fixed,cv,mean±std,5,symmetric_merged_cv,0.904710±0.075059,0.912989±0.060716,0.930070±0.067511,0.906263±0.101481,0.898480±0.085132,0.883971±0.115786,0.946575±0.044418,52,64,pooled_in_pooled_table,0
androids_interview,audio_text,xgb_optuna,cv,mean±std,5,symmetric_merged_cv,0.904710±0.064199,0.913560±0.044988,0.946434±0.044350,0.890878±0.091437,0.898311±0.075548,0.883063±0.109324,0.960763±0.027434,52,64,pooled_in_pooled_table,0
androids_interview,text_only,logreg,cv,mean±std,5,symmetric_merged_cv,0.792391±0.118692,0.804778±0.091771,0.858998±0.061733,0.781352±0.165404,0.787504±0.126831,0.770231±0.165223,0.885101±0.119272,52,64,pooled_in_pooled_table,0
androids_interview,text_only,qwen,cv,mean±std,5,symmetric_merged_cv,0.784058±0.143354,0.796731±0.108310,0.860462±0.113368,0.778788±0.195355,0.774916±0.155388,0.753102±0.208532,0.898085±0.099202,52,64,pooled_in_pooled_table,0
androids_interview,text_only,xgb_fixed,cv,mean±std,5,symmetric_merged_cv,0.783696±0.138193,0.802666±0.102082,0.841181±0.094423,0.796737±0.174066,0.775433±0.150994,0.748200±0.203188,0.890909±0.098699,52,64,pooled_in_pooled_table,0
androids_interview,text_only,xgb_optuna,cv,mean±std,5,symmetric_merged_cv,0.783333±0.143551,0.802952±0.110099,0.841585±0.113675,0.796737±0.174066,0.775269±0.155992,0.747585±0.206264,0.899217±0.086280,52,64,pooled_in_pooled_table,0
cmdc,audio_only,logreg,cv,mean±std,5,symmetric_merged_cv,0.973333±0.032660,0.955556±0.054433,1.000000±0.000000,0.920000±0.097980,0.968254±0.038881,0.980952±0.023328,0.996000±0.008000,52,26,pooled_in_pooled_table,0
cmdc,audio_only,qwen,cv,mean±std,5,symmetric_merged_cv,0.960000±0.053333,0.927778±0.098758,1.000000±0.000000,0.880000±0.160000,0.950036±0.067634,0.972294±0.036590,0.996000±0.008000,52,26,pooled_in_pooled_table,0
cmdc,audio_only,xgb_fixed,cv,mean±std,5,symmetric_merged_cv,0.973333±0.032660,0.955556±0.054433,1.000000±0.000000,0.920000±0.097980,0.968254±0.038881,0.980952±0.023328,1.000000±0.000000,52,26,pooled_in_pooled_table,0
cmdc,audio_only,xgb_optuna,cv,mean±std,5,symmetric_merged_cv,0.973333±0.032660,0.955556±0.054433,1.000000±0.000000,0.920000±0.097980,0.968254±0.038881,0.980952±0.023328,1.000000±0.000000,52,26,pooled_in_pooled_table,0
cmdc,audio_text,logreg,cv,mean±std,5,symmetric_merged_cv,0.974902±0.030839,0.959596±0.049895,1.000000±0.000000,0.926667±0.090431,0.970688±0.036105,0.981781±0.022353,1.000000±0.000000,52,26,pooled_in_pooled_table,0
cmdc,audio_text,qwen,cv,mean±std,5,symmetric_merged_cv,0.948235±0.049567,0.909596±0.091919,1.000000±0.000000,0.846667±0.148474,0.936597±0.062879,0.963599±0.034050,1.000000±0.000000,52,26,pooled_in_pooled_table,0
cmdc,audio_text,xgb_fixed,cv,mean±std,5,symmetric_merged_cv,0.974902±0.030839,0.959596±0.049895,1.000000±0.000000,0.926667±0.090431,0.970688±0.036105,0.981781±0.022353,0.996000±0.008000,52,26,pooled_in_pooled_table,0
cmdc,audio_text,xgb_optuna,cv,mean±std,5,symmetric_merged_cv,0.974902±0.030839,0.959596±0.049895,1.000000±0.000000,0.926667±0.090431,0.970688±0.036105,0.981781±0.022353,0.996000±0.008000,52,26,pooled_in_pooled_table,0
cmdc,text_only,logreg,cv,mean±std,5,symmetric_merged_cv,0.974902±0.030839,0.959596±0.049895,1.000000±0.000000,0.926667±0.090431,0.970688±0.036105,0.981781±0.022353,1.000000±0.000000,52,26,pooled_in_pooled_table,0
cmdc,text_only,qwen,cv,mean±std,5,symmetric_merged_cv,0.988235±0.023529,0.981818±0.036364,1.000000±0.000000,0.966667±0.066667,0.986561±0.026877,0.991304±0.017391,1.000000±0.000000,52,26,pooled_in_pooled_table,0
cmdc,text_only,xgb_fixed,cv,mean±std,5,symmetric_merged_cv,0.974902±0.030839,0.959596±0.049895,1.000000±0.000000,0.926667±0.090431,0.970688±0.036105,0.981781±0.022353,1.000000±0.000000,52,26,pooled_in_pooled_table,0
cmdc,text_only,xgb_optuna,cv,mean±std,5,symmetric_merged_cv,0.974902±0.030839,0.959596±0.049895,1.000000±0.000000,0.926667±0.090431,0.970688±0.036105,0.981781±0.022353,1.000000±0.000000,52,26,pooled_in_pooled_table,0
d3tec,audio_only,logreg,cv,mean±std,5,symmetric_merged_cv,0.532168±0.129746,0.443939±0.171393,0.506667±0.159722,0.420000±0.185712,0.515206±0.135016,0.586472±0.123707,0.580635±0.179376,33,29,pooled_in_pooled_table,0
d3tec,audio_only,qwen,cv,mean±std,5,symmetric_merged_cv,0.610373±0.128620,0.545011±0.176353,0.577619±0.122684,0.546667±0.257854,0.598916±0.134325,0.652821±0.099857,0.626032±0.175348,33,29,pooled_in_pooled_table,0
d3tec,audio_only,xgb_fixed,cv,mean±std,5,symmetric_merged_cv,0.594988±0.088702,0.531826±0.128509,0.576190±0.094521,0.520000±0.186905,0.583691±0.093860,0.635556±0.078967,0.606508±0.136338,33,29,pooled_in_pooled_table,0
d3tec,audio_only,xgb_optuna,cv,mean±std,5,symmetric_merged_cv,0.593706±0.095331,0.502028±0.172683,0.562857±0.085045,0.486667±0.227645,0.574149±0.111689,0.646270±0.072944,0.612063±0.140182,33,29,pooled_in_pooled_table,0
d3tec,audio_text,logreg,cv,mean±std,5,symmetric_merged_cv,0.609091±0.157807,0.503706±0.229561,0.571429±0.142857,0.486667±0.291814,0.586206±0.172117,0.668706±0.130863,0.584286±0.182024,33,29,pooled_in_pooled_table,0
d3tec,audio_text,qwen,cv,mean±std,5,symmetric_merged_cv,0.596503±0.097441,0.505455±0.135281,0.580000±0.116619,0.453333±0.148474,0.581537±0.104458,0.657619±0.077345,0.600794±0.201868,33,29,pooled_in_pooled_table,0
d3tec,audio_text,xgb_fixed,cv,mean±std,5,symmetric_merged_cv,0.638345±0.154230,0.571484±0.179824,0.643810±0.137697,0.553333±0.245493,0.621971±0.159433,0.672459±0.166269,0.648730±0.158227,33,29,pooled_in_pooled_table,0
d3tec,audio_text,xgb_optuna,cv,mean±std,5,symmetric_merged_cv,0.578322±0.096787,0.472937±0.175151,0.542857±0.085714,0.453333±0.235325,0.555437±0.112609,0.637937±0.072516,0.615873±0.191176,33,29,pooled_in_pooled_table,0
d3tec,text_only,logreg,cv,mean±std,5,symmetric_merged_cv,0.491958±0.162817,0.428205±0.154424,0.473810±0.179189,0.406667±0.161107,0.477598±0.161771,0.526991±0.196206,0.502063±0.212145,33,29,pooled_in_pooled_table,0
d3tec,text_only,qwen,cv,mean±std,5,symmetric_merged_cv,0.527040±0.209985,0.406667±0.273577,0.455556±0.355556,0.400000±0.270801,0.480733±0.214425,0.554800±0.248060,0.575397±0.216188,33,29,pooled_in_pooled_table,0
d3tec,text_only,xgb_fixed,cv,mean±std,5,symmetric_merged_cv,0.561888±0.185952,0.502517±0.192443,0.588571±0.268997,0.486667±0.227645,0.549549±0.181056,0.596581±0.183981,0.571905±0.177539,33,29,pooled_in_pooled_table,0
d3tec,text_only,xgb_optuna,cv,mean±std,5,symmetric_merged_cv,0.561888±0.185952,0.515851±0.200861,0.582857±0.268997,0.526667±0.259401,0.549549±0.181056,0.583248±0.180807,0.553016±0.186007,33,29,pooled_in_pooled_table,0
daic,audio_only,logreg,cv,mean±std,5,symmetric_merged_cv,0.775123±0.092161,0.534208±0.251069,0.600952±0.200145,0.500000±0.273156,0.692044±0.151915,0.849880±0.055920,0.703611±0.207721,100,42,pooled_in_pooled_table,0
